record_type,epoch,step,global_step,optimizer_step,train_step_loss,train_running_loss,train_epoch_loss,val_loss,val_wer,lr,elapsed_sec,best_wer
train_step,47,13,2175,150,4.256820201873779,4.246171511136568,,,,1.5000000000000002e-05,,
train_step,47,14,2176,151,4.267022609710693,4.247660875320435,,,,1.5100000000000001e-05,,
train_step,47,15,2177,151,4.189364433288574,4.243774445851644,,,,1.5100000000000001e-05,,
train_step,47,16,2178,152,4.7370123863220215,4.2746018171310425,,,,1.52e-05,,
train_step,47,17,2179,152,4.007258415222168,4.258875734665814,,,,1.52e-05,,
train_step,47,18,2180,153,4.170594215393066,4.2539712058173285,,,,1.5300000000000003e-05,,
train_step,47,19,2181,153,4.676623344421387,4.276216055217542,,,,1.5300000000000003e-05,,
train_step,47,20,2182,154,4.124317169189453,4.268621110916138,,,,1.5399999999999998e-05,,
train_step,47,21,2183,154,4.151695728302002,4.26305323555356,,,,1.5399999999999998e-05,,
train_step,47,22,2184,155,4.06091833114624,4.2538652853532275,,,,1.55e-05,,
train_step,47,23,2185,155,4.449582099914551,4.262374712073284,,,,1.55e-05,,
train_step,47,24,2186,156,4.167323589324951,4.258414248625438,,,,1.56e-05,,
train_step,47,25,2187,156,4.225362777709961,4.2570921897888185,,,,1.56e-05,,
train_step,47,26,2188,157,4.231467247009277,4.256106615066528,,,,1.57e-05,,
